Static Pressure,LPM Rota,periph_ch1,periph_ch1_lpm,temp_mcu,Static_Pa,SP_mV,DP_mV,Differential_Pa,Flow_lph,SB lpm,Accuracy,Error,ideal flow,cd
11.14,30,0,,27,11360,39.02,1483.28,4.4,2128,35.46666667,1.182222222,18.22%,35.47230718,0.3140477992
22,30,0,,27,22342,54.68,1474.68,5.07,2285,38.08333333,1.269444444,26.94%,38.07738174,0.5777708181
22,30,0,,27,22415,54.78,1473.9,5.13,2299,38.31666667,1.277222222,27.72%,38.30202901,0.5743821037
22,30,0,,27,22476,54.87,1475.6,5,2268,37.8,1.26,26.00%,37.8136065,0.5818011566
33,30,0,,27,34530,72.05,1473.9,5.13,2299,38.31666667,1.277222222,27.72%,38.30202901,0.8615731555
33,30,0,,26.6,34671,72.26,1474.04,5.2,2313,38.55,1.285,28.50%,38.56246349,0.8557544569
33,30,0,,27,34726,72.33,1474.04,5.2,2313,38.55,1.285,28.50%,38.56246349,0.8557544569
47.33,30,0,,27,48015,91.28,1474.68,5.07,2285,38.08333333,1.269444444,26.94%,38.07738174,1.242995128
47.33,30,0,,27,48055,91.34,1474.82,5.13,2299,38.31666667,1.277222222,27.72%,38.30202901,1.235704771
47.33,30,0,,26.2,48015,91.28,1474.68,5.07,2285,38.08333333,1.269444444,26.94%,38.07738174,1.242995128
17.27,50,0,,27,17482,47.75,1419.19,10.53,3292,54.86666667,1.097333333,9.73%,54.87534756,0.3147132686
17.27,50,0,,27,17464,47.72,1419.97,10.44,3278,54.63333333,1.092666667,9.27%,54.64033429,0.3160668803
17.27,50,0,,27,17466,47.73,1420.86,10.44,3278,54.63333333,1.092666667,9.27%,54.64033429,0.3160668803
34.4,50,0,,27,34891,72.57,1415.39,11.08,3377,56.28333333,1.125666667,12.57%,56.29022422,0.6111185464
34.4,50,0,,26.6,34873,72.54,1415.39,11.08,3377,56.28333333,1.125666667,12.57%,56.29022422,0.6111185464
34.4,50,0,,26.6,34873,72.54,1414.61,11.17,3391,56.51666667,1.130333333,13.03%,56.51837738,0.6086515855
48.4,50,0,,27,49244,93.03,1415.39,11.08,3377,56.28333333,1.125666667,12.57%,56.29022422,0.8598295827
48.4,50,0,,27,49221,93,1414.5,11.08,3377,56.28333333,1.125666667,12.57%,56.29022422,0.8598295827
48.4,50,0,,27,49203,92.97,1415.29,10.99,3363,56.05,1.121,12.10%,56.06114254,0.8633430894
6.15,100,0,,26.2,6281,31.78,1261.33,36.84,6158,102.6333333,1.026333333,2.63%,102.6414808,0.0599172961
6.15,100,0,,26.2,6281,31.78,1261.33,36.84,6158,102.6333333,1.026333333,2.63%,102.6414808,0.0599172961
6.15,100,0,,27,6281,31.78,1260.55,37.01,6173,102.8833333,1.028833333,2.88%,102.8780304,0.05977952706
28.65,100,0,,27,29140,64.37,1252.74,38.73,6314,105.2333333,1.052333333,5.23%,105.2414558,0.272231126
28.65,100,0,,27,29140,64.37,1251.95,38.9,6329,105.4833333,1.054833333,5.48%,105.4721743,0.2716356251
28.65,100,0,,26.6,29168,64.41,1252.74,38.9,6329,105.4833333,1.054833333,5.48%,105.4721743,0.2716356251
42.55,100,0,,26.2,43191,84.4,1250.39,39.25,6357,105.95,1.0595,5.95%,105.945601,0.4016212056
42.55,100,0,,26.2,43191,84.4,1250.39,39.25,6357,105.95,1.0595,5.95%,105.945601,0.4016212056
42.55,100,0,,26.6,43210,84.43,1251.17,39.08,6343,105.7166667,1.057166667,5.72%,105.7159157,0.4024937941
11.58,150,0,,26.6,11780,39.62,1090.08,83.65,9280,154.6666667,1.031111111,3.11%,154.6664335,0.07487080255
11.58,150,0,,27,11780,39.62,1089.3,83.91,9294,154.9,1.032666667,3.27%,154.9066132,0.07475471679
11.58,150,0,,27,11780,39.62,1088.52,84.16,9308,155.1333333,1.034222222,3.42%,155.1372046,0.07464360356
30.05,150,0,,27,30528,66.35,1084.71,85.19,9365,156.0833333,1.040555556,4.06%,156.0836482,0.192524972
30.05,150,0,,26.6,30558,66.39,1085.39,85.19,9365,156.0833333,1.040555556,4.06%,156.0836482,0.192524972
30.05,150,0,,27,30558,66.39,1085.39,85.19,9365,156.0833333,1.040555556,4.06%,156.0836482,0.192524972
52.34,150,0,,26.2,51889,96.8,1088.62,83.91,9294,154.9,1.032666667,3.27%,154.9066132,0.3378809911
52.34,150,0,,26.6,51932,96.86,1090.08,83.65,9280,154.6666667,1.031111111,3.11%,154.6664335,0.3384056827
52.34,150,0,,27,51932,96.86,1089.3,83.68,9282,154.7,1.031333333,3.13%,154.6941655,0.3383450165
9.3,200,0,,26.6,9458,36.31,952.45,134.73,11777,196.2833333,0.9814166667,1.86%,196.2886794,0.04737919694
9.3,200,0,,26.6,9458,36.31,953.24,134.41,11763,196.05,0.98025,1.97%,196.0554362,0.04743556302
9.3,200,0,,26.6,9476,36.34,952.45,134.73,11777,196.2833333,0.9814166667,1.86%,196.2886794,0.04737919694
16.61,200,0,,27,16863,46.87,935.25,141.97,12090,201.5,1.0075,0.75%,201.4936618,0.08243435476
